,ride_id,bike_type,start_time,end_time,start_station_id,end_station_id
0,20240917_NRfczc,ebike,2024-09-17 00:00:20.382,2024-09-17 00:03:44.453,ST_HX4,ST_vkk
1,20240917_HovlkY,ebike,2024-09-17 00:01:06.421,2024-09-17 00:03:06.629,ST_7Y6,ST_MdI
2,20240917_dWMfwn,mechanical,2024-09-17 00:01:45.704,2024-09-17 00:08:33.361,ST_PBx,ST_bZV
3,20240917_tggvtU,ebike,2024-09-17 00:02:16.750,2024-09-17 00:14:28.309,ST_H2g,ST_Jbm
4,20240917_i11qOt,ebike,2024-09-17 00:02:18.110,2024-09-17 00:29:04.943,ST_5Ws,ST_Jbm
5,20240917_0h9EYo,mechanical,2024-09-17 00:02:20.469,2024-09-17 00:08:34.521,ST_jCr,ST_9nO
6,20240917_7zSxCK,ebike,2024-09-17 00:02:38.595,2024-09-17 00:18:29.871,ST_m2h,ST_nMV
7,20240917_6FARLA,ebike,2024-09-17 00:03:34.543,2024-09-17 00:41:59.364,ST_gm1,ST_nMV
8,20240917_VZgmKs,ebike,2024-09-17 00:04:05.640,2024-09-17 00:11:39.486,ST_Gwz,ST_9nO
9,20240917_j9Bcmd,ebike,2024-09-17 00:04:36.957,2024-09-17 00:09:36.398,ST_sG5,ST_nMV
10,20240917_E6bU8C,ebike,2024-09-17 00:04:51.899,2024-09-17 00:20:23.073,ST_zzY,ST_8Yn
11,20240917_6ptVHo,mechanical,2024-09-17 00:05:35.127,2024-09-17 00:14:08.479,ST_wpF,ST_3oG
12,20240917_MyUiyJ,ebike,2024-09-17 00:05:40.881,2024-09-17 00:54:17.700,ST_775,ST_QBW
13,20240917_8KXxKf,ebike,2024-09-17 00:07:38.991,2024-09-17 00:10:34.490,ST_hk3,ST_Qyc
14,20240917_IUkb7Q,ebike,2024-09-17 00:08:10.529,2024-09-17 00:12:55.553,ST_mXi,ST_HuX
15,20240917_i6oKpg,mechanical,2024-09-17 00:08:32.793,2024-09-17 00:27:18.618,ST_x2f,ST_rau
16,20240917_GHSEyC,mechanical,2024-09-17 00:08:38.745,2024-09-17 00:19:00.968,ST_bYh,ST_tQR
17,20240917_k1xQ1C,ebike,2024-09-17 00:08:46.664,2024-09-17 00:14:06.241,ST_ZlU,ST_Mn3
18,20240917_pbQtxJ,ebike,2024-09-17 00:08:52.510,2024-09-17 00:18:40.244,ST_tQS,ST_Llj
19,20240917_dbE0eq,mechanical,2024-09-17 00:08:52.916,2024-09-17 00:12:56.387,ST_bCk,ST_Qyc
20,20240917_epLOkb,ebike,2024-09-17 00:08:56.996,2024-09-17 00:15:39.258,ST_z0f,ST_14P
21,20240917_vVL86q,mechanical,2024-09-17 00:08:59.430,2024-09-17 00:11:07.235,ST_gQN,ST_nMV
22,20240917_RSJh8g,ebike,2024-09-17 00:09:32.801,2024-09-17 00:17:40.250,ST_buP,ST_HP0
23,20240917_lRxrEx,ebike,2024-09-17 00:10:04.731,2024-09-17 00:12:57.242,ST_87V,ST_QBW
24,20240917_q7hx9R,ebike,2024-09-17 00:10:22.472,2024-09-17 00:21:35.399,ST_CBL,ST_yQG
25,20240917_oTvmCY,ebike,2024-09-17 00:10:32.826,2024-09-17 00:36:12.495,ST_fGn,ST_Mn3
26,20240917_MwlDAh,ebike,2024-09-17 00:11:50.499,2024-09-17 00:48:26.819,ST_Kfl,ST_MpB
27,20240917_2SBHSx,ebike,2024-09-17 00:11:56.922,2024-09-17 00:16:17.334,ST_Nk5,ST_14P
28,20240917_HCS2xy,ebike,2024-09-17 00:12:09.357,2024-09-17 00:35:39.154,ST_5de,ST_Jbm
29,20240917_gGJcyB,ebike,2024-09-17 00:12:15.133,2024-09-17 00:21:00.365,ST_wIj,ST_mkA
30,20240917_nca8jf,mechanical,2024-09-17 00:12:18.159,2024-09-17 00:18:09.954,ST_aA6,ST_Mn3
31,20240917_zoAcge,ebike,2024-09-17 00:12:34.900,2024-09-17 00:53:28.864,ST_xfq,ST_rp6
32,20240917_2kgkH0,mechanical,2024-09-17 00:14:12.843,2024-09-17 00:17:04.344,ST_gQN,ST_Cel
33,20240917_eFDMbI,ebike,2024-09-17 00:14:41.314,2024-09-17 00:22:29.915,ST_xP2,ST_MpB
34,20240917_EIXRXy,ebike,2024-09-17 00:15:50.420,2024-09-17 00:22:01.538,ST_WmI,ST_9nO
35,20240917_7cgVkT,mechanical,2024-09-17 00:16:07.563,2024-09-17 00:35:15.513,ST_AZK,ST_HP0
36,20240917_67M0fR,ebike,2024-09-17 00:16:26.075,2024-09-17 05:53:26.951,ST_IxJ,ST_Qyc
37,20240917_WyEtwa,ebike,2024-09-17 00:16:44.382,2024-09-17 00:19:06.719,ST_rUF,ST_QBW
38,20240917_XRjzv3,ebike,2024-09-17 00:16:45.558,2024-09-17 00:28:44.452,ST_E6L,ST_Mn3
39,20240917_3FFbfh,ebike,2024-09-17 00:20:56.320,2024-09-17 00:32:49.265,ST_toh,ST_Mn3
40,20240917_pcITwZ,ebike,2024-09-17 00:24:04.107,2024-09-17 00:26:10.724,ST_buP,ST_GVV
41,20240917_od4sC2,ebike,2024-09-17 00:24:07.350,2024-09-17 00:28:25.763,ST_nFg,ST_5Ws
42,20240917_42hmFc,ebike,2024-09-17 00:24:19.546,2024-09-17 00:27:58.162,ST_wL9,ST_OCh
43,20240917_iJFUVc,ebike,2024-09-17 00:25:15.684,2024-09-17 00:38:58.686,ST_Aev,ST_pqJ
44,20240917_v34oTL,ebike,2024-09-17 00:25:35.430,2024-09-17 00:34:39.864,ST_YLH,ST_pqJ
45,20240917_lg5lP9,ebike,2024-09-17 00:25:41.638,2024-09-17 00:28:13.279,ST_mXi,ST_l5E
46,20240917_unuZBa,ebike,2024-09-17 00:25:46.537,2024-09-17 00:33:51.515,ST_8dg,ST_dHG
47,20240917_JKozEL,ebike,2024-09-17 00:25:56.536,2024-09-17 01:01:28.013,ST_auE,ST_7Ta
48,20240917_zNQzDM,ebike,2024-09-17 00:25:57.083,2024-09-17 00:55:04.160,ST_eZS,ST_Jbm
49,20240917_umpexC,ebike,2024-09-17 00:26:37.891,2024-09-17 00:37:32.891,ST_BsR,ST_Z6H
50,20240917_QANPel,ebike,2024-09-17 00:26:54.991,2024-09-17 00:35:37.211,ST_eGN,ST_vj3
51,20240917_pHnrEo,ebike,2024-09-17 00:26:59.723,2024-09-17 00:39:40.787,ST_yWT,ST_QNA
52,20240917_TH6bDu,ebike,2024-09-17 00:27:36.699,2024-09-17 00:48:08.860,ST_5q4,ST_nMV
53,20240917_Yxg7MB,ebike,2024-09-17 00:28:04.187,2024-09-17 00:29:51.741,ST_W22,ST_kJA
54,20240917_6w91AQ,ebike,2024-09-17 00:29:06.429,2024-09-17 00:31:56.743,ST_toh,ST_vj3
55,20240917_eF5Yy5,mechanical,2024-09-17 00:29:48.320,2024-09-17 00:41:53.905,ST_0av,ST_nMV
56,20240917_JETOeG,mechanical,2024-09-17 00:30:22.656,2024-09-17 00:39:01.094,ST_YML,ST_t9O
57,20240917_DE8f8M,ebike,2024-09-17 00:30:30.699,2024-09-17 00:52:45.796,ST_AFr,ST_9nO
58,20240917_5PnLl0,ebike,2024-09-17 00:30:53.625,2024-09-17 00:38:10.172,ST_ZHm,ST_3oG
59,20240917_K84Hwi,ebike,2024-09-17 00:30:55.829,2024-09-17 00:39:27.037,ST_F35,ST_QBW
60,20240917_KB76UQ,mechanical,2024-09-17 00:31:08.046,2024-09-17 00:34:35.176,ST_oZo,ST_MpB
61,20240917_sPViul,ebike,2024-09-17 00:31:19.610,2024-09-17 00:33:41.535,ST_Tp0,ST_HP0
62,20240917_r97TMC,ebike,2024-09-17 00:31:20.354,2024-09-17 00:51:30.288,ST_30y,ST_jGq
63,20240917_LuOwCd,mechanical,2024-09-17 00:32:55.447,2024-09-17 00:40:51.602,ST_Scd,ST_nMV
64,20240917_BvT1Ug,ebike,2024-09-17 00:33:37.522,2024-09-17 00:41:27.989,ST_0av,ST_HP0
65,20240917_EWJ7Er,ebike,2024-09-17 00:34:00.132,2024-09-17 00:56:43.940,ST_ZPW,ST_nMV
66,20240917_5HkIeE,ebike,2024-09-17 00:34:02.249,2024-09-17 00:56:40.727,ST_ZPW,ST_GVV
67,20240917_WeDeBB,ebike,2024-09-17 00:35:32.250,2024-09-17 00:41:53.316,ST_PBx,ST_lZj
68,20240917_LNxQN4,ebike,2024-09-17 00:36:25.684,2024-09-17 00:46:53.044,ST_uZc,ST_Q5a
69,20240917_oDVGLX,ebike,2024-09-17 00:37:30.107,2024-09-17 00:41:25.160,ST_7Ta,ST_DXn
70,20240917_UQiklo,ebike,2024-09-17 00:38:15.090,2024-09-17 01:38:24.193,ST_GVV,ST_y3L
71,20240917_QAunjm,ebike,2024-09-17 00:39:23.490,2024-09-17 00:45:48.733,ST_FCS,ST_7Sk
72,20240917_9XE2iM,ebike,2024-09-17 00:39:46.834,2024-09-17 01:01:48.822,ST_Yew,ST_3oG
73,20240917_z1hWJA,ebike,2024-09-17 00:40:47.397,2024-09-17 00:49:31.494,ST_0hk,ST_rIX
74,20240917_q2ob0G,mechanical,2024-09-17 00:41:02.827,2024-09-17 00:50:08.974,ST_Bw1,ST_wL9
75,20240917_aVf9dJ,ebike,2024-09-17 00:41:13.135,2024-09-17 00:52:47.198,ST_moA,ST_8Yn
76,20240917_l4KD8m,ebike,2024-09-17 00:41:24.786,2024-09-17 00:46:18.311,ST_fGn,ST_uZc
77,20240917_gQ9c58,mechanical,2024-09-17 00:41:55.944,2024-09-17 00:47:34.804,ST_4AH,ST_QBW
78,20240917_MLq8Hn,ebike,2024-09-17 00:46:02.695,2024-09-17 00:49:57.057,ST_xVV,ST_Qyc
79,20240917_hTxxWw,ebike,2024-09-17 00:46:22.713,2024-09-17 00:56:10.933,ST_7Ta,ST_nMV
80,20240917_RjVvXb,ebike,2024-09-17 00:47:55.826,2024-09-17 00:52:21.940,ST_S01,ST_lxY
81,20240917_26hDcD,ebike,2024-09-17 00:48:11.433,2024-09-17 01:07:17.493,ST_GJI,ST_Mn3
82,20240917_jkXeZJ,ebike,2024-09-17 00:49:19.258,2024-09-17 00:53:49.298,ST_7Y6,ST_14P
83,20240917_Amq9sX,ebike,2024-09-17 00:49:30.484,2024-09-17 00:54:35.850,ST_MiJ,ST_Ysh
84,20240917_CAfeBb,mechanical,2024-09-17 00:50:39.549,2024-09-17 00:52:37.244,ST_dky,ST_pb8
85,20240917_84cYPB,ebike,2024-09-17 00:53:51.743,2024-09-17 01:07:08.865,ST_sak,ST_9nO
86,20240917_LZXbdA,mechanical,2024-09-17 00:54:24.183,2024-09-17 01:00:34.117,ST_qC6,ST_oUj
87,20240917_uAV5bk,mechanical,2024-09-17 00:54:58.787,2024-09-17 01:02:05.925,ST_Vsb,ST_Mn3
88,20240917_wutXpJ,ebike,2024-09-17 00:56:12.886,2024-09-17 01:15:01.260,ST_nP9,ST_OOt
89,20240917_FIV1Sk,mechanical,2024-09-17 00:56:14.649,2024-09-17 01:12:36.170,ST_eZS,ST_vj3
90,20240917_fbSejZ,ebike,2024-09-17 00:57:53.888,2024-09-17 01:17:14.844,ST_oZo,ST_nMV
91,20240917_g3nOIq,ebike,2024-09-17 01:03:16.758,2024-09-17 01:08:26.621,ST_HHi,ST_dA3
92,20240917_4mr1I1,ebike,2024-09-17 01:06:54.740,2024-09-17 01:16:34.008,ST_Xyk,ST_Lc6
93,20240917_cczTPu,ebike,2024-09-17 01:07:24.278,2024-09-17 01:24:33.872,ST_LhR,ST_Jbm
94,20240917_TWa9sA,mechanical,2024-09-17 01:08:04.222,2024-09-17 01:21:24.573,ST_5Ih,ST_RGI
95,20240917_WzdTzq,ebike,2024-09-17 01:08:35.616,2024-09-17 01:15:31.292,ST_Lxx,ST_QBW
96,20240917_HYnnAP,mechanical,2024-09-17 01:08:59.449,2024-09-17 01:16:05.290,ST_aA6,ST_ZlU
97,20240917_DvQD6a,ebike,2024-09-17 01:09:06.116,2024-09-17 01:11:21.062,ST_iQk,ST_Yp4
98,20240917_o2Kr8f,ebike,2024-09-17 01:09:25.095,2024-09-17 01:22:14.094,ST_n2p,ST_nMV
99,20240917_yrAyW7,ebike,2024-09-17 01:11:40.863,2024-09-17 01:28:38.690,ST_5vn,ST_Jbm
100,20240917_SVhSHM,mechanical,2024-09-17 01:12:10.897,2024-09-17 03:04:58.888,ST_Mn3,ST_Jbm
101,20240917_k6UuYb,ebike,2024-09-17 01:13:30.961,2024-09-17 01:17:09.442,ST_LhR,ST_nMV
102,20240917_iFJQvR,ebike,2024-09-17 01:14:42.284,2024-09-17 01:21:25.643,ST_Scd,ST_14P
103,20240917_a57eQk,ebike,2024-09-17 01:14:52.596,2024-09-17 01:51:05.363,ST_S7n,ST_QNA
104,20240917_dI7iuh,ebike,2024-09-17 01:14:59.029,2024-09-17 01:18:51.117,ST_Tq1,ST_yQG
105,20240917_53ySr4,ebike,2024-09-17 01:15:18.821,2024-09-17 01:22:08.451,ST_LYk,ST_OCh
106,20240917_217qPr,ebike,2024-09-17 01:15:28.183,2024-09-17 01:17:21.687,ST_v0l,ST_yQG
107,20240917_2na6Ua,ebike,2024-09-17 01:16:49.713,2024-09-17 01:42:59.566,ST_fGn,ST_HP0
108,20240917_zg6Jwp,ebike,2024-09-17 01:17:21.665,2024-09-17 01:20:31.157,ST_YML,ST_nMV
109,20240917_FSapta,mechanical,2024-09-17 01:17:59.282,2024-09-17 01:36:06.448,ST_fta,ST_9nO
110,20240917_3AFJiU,ebike,2024-09-17 01:20:09.841,2024-09-17 01:29:07.456,ST_qam,ST_Pan
111,20240917_EHFwv5,ebike,2024-09-17 01:21:52.433,2024-09-17 01:29:18.417,ST_WmI,ST_Jbm
112,20240917_aLJmnZ,ebike,2024-09-17 01:22:03.269,2024-09-17 01:29:00.620,ST_g9H,ST_Jbm
113,20240917_14Grra,ebike,2024-09-17 01:23:05.486,2024-09-17 01:32:32.445,ST_RN7,ST_14P
114,20240917_fV1MVc,ebike,2024-09-17 01:23:55.089,2024-09-17 01:33:11.554,ST_BhC,ST_ZVb
115,20240917_fHrRpf,ebike,2024-09-17 01:25:20.446,2024-09-17 01:32:48.998,ST_0av,ST_MNF
116,20240917_GIMXQK,ebike,2024-09-17 01:26:04.847,2024-09-17 01:29:45.794,ST_nBB,ST_nMV
117,20240917_Kpfbuf,ebike,2024-09-17 01:28:26.429,2024-09-17 01:47:35.449,ST_iQk,ST_JHr
118,20240917_86hgA4,ebike,2024-09-17 01:29:23.656,2024-09-17 01:37:32.897,ST_9fb,ST_s78
119,20240917_eH1gra,mechanical,2024-09-17 01:30:45.354,2024-09-17 01:51:19.186,ST_775,ST_QNA
120,20240917_EFEead,mechanical,2024-09-17 01:30:52.913,2024-09-17 02:24:16.172,ST_bGn,ST_QBW
121,20240917_4O7zgC,mechanical,2024-09-17 01:31:37.954,2024-09-17 01:50:23.939,ST_775,ST_t9L
122,20240917_evIX16,mechanical,2024-09-17 01:33:18.831,2024-09-17 01:48:59.509,ST_775,ST_nMV
123,20240917_wuM9O1,ebike,2024-09-17 01:35:04.772,2024-09-17 01:36:20.383,ST_775,ST_8Yn
124,20240917_hayATn,mechanical,2024-09-17 01:35:11.473,2024-09-17 02:57:25.091,ST_cmf,ST_32Y
125,20240917_SMGIdk,ebike,2024-09-17 01:38:11.814,2024-09-17 02:15:08.856,ST_ccv,ST_14P
126,20240917_o5BCeO,ebike,2024-09-17 01:44:08.567,2024-09-17 01:50:25.897,ST_MiJ,ST_OCh
127,20240917_vhP9FC,ebike,2024-09-17 01:46:25.105,2024-09-17 01:56:29.445,ST_mXi,ST_iQk
128,20240917_PNV2Gu,ebike,2024-09-17 01:48:57.289,2024-09-17 01:56:01.470,ST_9qy,ST_Mn3
129,20240917_ZBHRm7,ebike,2024-09-17 01:51:46.757,2024-09-17 01:54:48.694,ST_5de,ST_K3J
130,20240917_EnGiOu,ebike,2024-09-17 01:52:40.887,2024-09-17 01:58:42.791,ST_C5v,ST_MpB
131,20240917_j1Xf0R,ebike,2024-09-17 01:54:01.870,2024-09-17 02:21:04.695,ST_5q4,ST_NbY
